Crosswalk2023_CBSA Code,NRI_AVLN_EALPE,NRI_CFLD_EALPE,NRI_CWAV_EALPE,NRI_ERQK_EALPE,NRI_HAIL_EALPE,NRI_HWAV_EALPE,NRI_HRCN_EALPE,NRI_ISTM_EALPE,NRI_LNDS_EALPE,NRI_LTNG_EALPE,NRI_RFLD_EALPE,NRI_SWND_EALPE,NRI_TRND_EALPE,NRI_TSUN_EALPE,NRI_VLCN_EALPE,NRI_WFIR_EALPE,NRI_WNTW_EALPE,NRI_AVLN_EALB,NRI_CFLD_EALB,NRI_CWAV_EALB,NRI_ERQK_EALB,NRI_HAIL_EALB,NRI_HWAV_EALB,NRI_HRCN_EALB,NRI_ISTM_EALB,NRI_LNDS_EALB,NRI_LTNG_EALB,NRI_RFLD_EALB,NRI_SWND_EALB,NRI_TRND_EALB,NRI_TSUN_EALB,NRI_VLCN_EALB,NRI_WFIR_EALB,NRI_WNTW_EALB,NRI_AVLN_EXPPE,NRI_CFLD_EXPPE,NRI_CWAV_EXPPE,NRI_ERQK_EXPPE,NRI_HAIL_EXPPE,NRI_HWAV_EXPPE,NRI_HRCN_EXPPE,NRI_ISTM_EXPPE,NRI_LNDS_EXPPE,NRI_LTNG_EXPPE,NRI_RFLD_EXPPE,NRI_SWND_EXPPE,NRI_TRND_EXPPE,NRI_TSUN_EXPPE,NRI_VLCN_EXPPE,NRI_WFIR_EXPPE,NRI_WNTW_EXPPE,NRI_AVLN_EXPB,NRI_CFLD_EXPB,NRI_CWAV_EXPB,NRI_ERQK_EXPB,NRI_HAIL_EXPB,NRI_HWAV_EXPB,NRI_HRCN_EXPB,NRI_ISTM_EXPB,NRI_LNDS_EXPB,NRI_LTNG_EXPB,NRI_RFLD_EXPB,NRI_SWND_EXPB,NRI_TRND_EXPB,NRI_TSUN_EXPB,NRI_VLCN_EXPB,NRI_WFIR_EXPB,NRI_WNTW_EXPB,NRI_BUILDVALUE,NRI_POPULATION,NRI_AREA
10100.0,0.0,0.0,2164488.618363976,6357.9907664117745,187611.43480764388,434705.3136944388,0.0,222528.9209257921,1065.074256870098,143462.07718573947,2910953.0747942813,944563.3076395387,1181650.8211509478,0.0,0.0,13512.381638915684,811966.722787892,0.0,0.0,10015.975439271115,28653.0,1208175.1673175723,6172.011702911517,0.0,766027.3951561206,1062.755819829716,5810.1554441544795,868633.1605666399,1802260.8258580142,1760690.573324427,0.0,0.0,474776.48254397104,1503696.0035865046,0.0,0.0,489717200000.0,490529200000.0,489717200000.0,489717200000.0,0.0,489717200000.0,213014851.37401962,489717200000.0,21204592439.481445,489717200000.0,489717200000.0,0.0,0.0,37261055928.99246,489717200000.0,0.0,0.0,13970628147.0,13970513000.0,13970628147.0,13970628147.0,0.0,13970628147.0,21255116.39659432,13970628147.0,650521477.7904627,13970628147.0,13970628147.0,0.0,0.0,1514335704.225141,13970628147.0,13970628147.0,42217.0,2911.11146859
10140.0,0.0,23314129.79823952,0.0,12807928.305213703,397.8817409256187,2055.7095022840867,0.0,1739.4006137281365,122577.69990474125,12522.80559512492,60464.66264119975,8086.923490014729,51980.30332133725,11091.66287550844,0.0,5.290799217361994,3944.0968505749224,0.0,6088284.086319163,0.0,30406341.4,0.979536966459985,2954.716965471287,0.0,20083.59187768555,716687.3887310963,1886.074967771492,28620.70608318108,10727.799045916823,29315.486209281014,86555.74171243666,0.0,12057.708741865335,8.523849316147405,0.0,287480396616.78784,0.0,877377600000.0,875359200000.0,875359200000.0,0.0,871431070800.0686,424808383204.42017,875359200000.0,177469379052.78024,875359200000.0,875359200000.0,394757493432.1906,0.0,147441872133.6122,875359200000.0,0.0,4445983244.28254,0.0,15664602000.0,15664853722.0,15664853722.0,0.0,15555958312.071827,6771712114.445928,15664853722.0,3281721245.919803,15664853722.0,15664853722.0,8037370272.808138,0.0,2640196372.080877,15664853722.0,15664853722.0,75462.0,2246.05092816
10180.0,0.0,0.0,485441.0292653315,19906.666438610115,483001.07148193166,1375110.4192920849,2751.9638607027805,118521.39309120993,40474.255904387624,246081.19388163387,799068.3110358447,333215.29484590166,2730724.5486511206,0.0,0.0,60137.65934502537,957269.6715042226,0.0,0.0,5501.592998838151,67120.4,8539877.171907127,702.602737372421,188083.44162667706,63924.929033257074,10175.72038740282,30008.06811461826,3730847.3876244416,1285781.7365737092,1894376.574575805,0.0,0.0,5298566.0549649,29422.018863275563,0.0,0.0,2046680800000.0,2048316400000.0,2046680800000.0,2046680800000.0,2046680800000.0,2046411449150.2207,24676263430.463562,2046680800000.0,315200650271.37946,2046680800000.0,2046680800000.0,0.0,0.0,309913109617.88586,2046680800000.0,0.0,0.0,31702035918.0,31701499000.0,31702035918.0,31702035918.0,31702035918.0,31699663206.956955,464553290.0490873,31702035918.0,4136462362.0039506,31702035918.0,31702035918.0,0.0,0.0,4755645584.111636,31702035918.0,31702035918.0,176438.0,2785.5456439199997
10220.0,0.0,0.0,358435.15673299285,66233.430002684,51270.67046965654,558756.1099290489,266.85425829466254,72101.74928483326,17399.999999999636,89546.46284838134,53267.397032183326,439387.8142660401,3597981.485185009,0.0,0.0,38513.396765201935,57839.90144716945,0.0,0.0,1634.5930983757755,250843.6,3579845.8187626046,266.7389090757976,24192.158514800292,410111.47531202127,4500.000000000003,22341.300556987888,41877.04461002207,241858.14899531045,1446818.1605939935,0.0,0.0,1732168.259113958,4979.30153262518,0.0,0.0,440509650463.464,441554000000.0,440510000000.0,440509650463.464,438980419607.0603,440464882755.1096,30535412192.38216,440510000000.0,3477447194.808144,440510000000.0,440510000000.0,0.0,0.0,58670814782.17912,440509650463.46405,0.0,0.0,6279384792.364357,6279253000.0,6279387562.0,6279384792.364357,6263373113.6123085,6278977024.777164,469573422.4733214,6279387562.0,55881411.90257264,6279387562.0,6279387562.0,0.0,0.0,672836053.6437684,6279384792.364357,6279387562.0,37975.0,732.5880814200002
10300.0,0.0,0.0,79218.55717028763,38087.755830003625,8064.581157828243,231563.3178075392,411.5930693625805,1086.294327114186,17399.99999999921,291822.13691278524,146893.52750720375,476185.20495567325,2016192.0431034097,0.0,0.0,2354.499504433363,63769.03367519327,0.0,0.0,2485.4012256498145,152639.2,602068.1616042596,2963.0900586512685,58531.3482022706,180643.92579912805,4500.000000000016,56507.03234830805,52482.13665055157,1797868.8833477856,2745929.845318152,0.0,0.0,26076.76512588187,2783.682443211492,0.0,0.0,1152760804378.852,1153306800000.0,1152761600000.0,1152760804378.852,1152207520107.1475,1152753611244.3203,81785722630.08441,1152761600000.0,14285684607.198273,1152761600000.0,1152761600000.0,0.0,0.0,389605183501.09216,1152760804378.852,0.0,0.0,19656965774.872574,19656661000.0,19656969098.0,19656965774.872574,19645387719.09905,19656940883.66892,1644016086.7637432,19656969098.0,222115873.55494344,19656969098.0,19656969098.0,0.0,0.0,6519191446.158926,19656965774.872566,19656969098.0,99376.0,769.08925353
10380.0,0.0,1170.8389644259412,0.0,26587657.41991209,3692.194710421587,0.0,5023006.6109226085,0.0,145851.81858365895,0.0,1457751.478388192,9.618076427013932,51050.4797591389,332.3270943656878,0.0,0.0,0.0,0.0,629908.0136038355,0.0,33420778.5,365.92055931914933,0.0,143821865.49981532,0.0,38234.61469882419,0.0,32988626.991204232,0.5834053380635209,46125.377771770545,1008.5500967142036,0.0,0.0,0.0,0.0,32814341322.963116,0.0,2943708800000.0,2940240400000.0,0.0,2940090428160.473,0.0,894206680887.0034,0.0,121920518541.22592,2940240400000.0,2940240400000.0,152301015115.0389,0.0,0.0,0.0,0.0,443623361.0240162,0.0,33902307000.0,33902584970.0,0.0,33901386242.579258,0.0,8718904894.25172,0.0,1605079626.2665203,33902584970.0,33902584970.0,2228158213.009643,0.0,0.0,0.0,33902584970.0,253469.0,438.26975907
10420.0,0.0,0.0,283878.5963317102,167456.81867958343,118503.30189041345,425043.97329416365,9718.142791971344,3145.4358546115127,36571.09220818107,564129.6671023475,1064910.7512469967,388028.22721967055,3602454.637070776,0.0,0.0,12664.623334349804,282251.8890092788,0.0,0.0,36837.232424725546,713877.9,8411590.475358248,5637.09523284057,701444.7723383036,246113.65284860932,265169.68179657194,40461.01768295799,6909351.282120796,1231987.885801872,6071355.3062747065,0.0,0.0,145152.91754269664,1330482.1500228199,0.0,0.0,8144510800000.0,8145740400000.0,8144510800000.0,8144510800000.0,8137756592143.344,8141961196689.369,2079609333870.9824,8144510800000.0,70557530597.04718,8144510800000.0,8144510800000.0,0.0,0.0,2094121034043.9956,8144510800000.0,0.0,0.0,141164737358.0,141162976000.0,141164737358.0,141164737358.0,141000515893.57248,141142356431.5668,34504153696.4471,141164737358.0,1586962429.4748044,141164737358.0,141164737358.0,0.0,0.0,36268231240.58101,141164737358.0,141164737358.0,702113.0,933.51760476
10460.0,0.0,0.0,11858.52928946988,231746.05952643228,1891.1219055075867,0.004346056407703,184.0520327563817,19173.632313510567,17400.000000000728,347153.0699124038,8368177.594148088,72890.16629583221,8447.733776421013,0.0,0.0,66350.4804621079,66600.27831500389,0.0,0.0,147.7435234760305,983460.6,89782.36902621672,5.000886614e-06,32172.052381632944,74313.79486628374,4499.999999999996,248.61221613253608,307023.2406265578,110578.20488594664,50420.061202806246,0.0,0.0,9547978.675356817,118.25646477698932,0.0,0.0,104133777828.33836,786932400000.0,785308400000.0,127600000.0,785308400000.0,785018542853.6332,61852902832.303406,785308400000.0,132911804295.14456,785308400000.0,785308400000.0,0.0,0.0,131396961742.51675,785308400000.0,0.0,0.0,1756455662.3533463,12866052000.0,12866269081.0,2190634.0,12866269081.0,12862010848.617428,1072457423.0502586,12866269081.0,2302785402.580928,12866269081.0,12866269081.0,0.0,0.0,1915360453.0027564,12866269081.0,12866269081.0,67699.0,6693.726059670001
10480.0,390614.86351498903,0.0,89569.33972160815,489112.1928929712,2645.0618772114917,0.0,0.0,4920.423293606051,77938.42272470197,78171.24079284673,32927.56389403779,5195.953278340889,36829.73273730297,0.0,0.0,51.2981702086942,6480.448870618764,411.5263273016775,0.0,1121.2667793433134,1802407.7,150412.905209394,0.0,0.0,70.66927077371624,32558.67951788344,4088.1352121495206,157351.4996331591,6258.932725785069,115114.714795508,0.0,0.0,227492.02130477008,2785.9955222421354,174000000.0,0.0,315868000000.0,317097600000.0,315868000000.0,0.0,0.0,315868000000.0,14810570382.091217,315868000000.0,6694733376.99774,315868000000.0,315868000000.0,0.0,0.0,73156721424.65916,315868000000.0,3000000.0,0.0,10736611744.0,10736497000.0,10736611744.0,0.0,0.0,10736611744.0,520777111.0373558,10736611744.0,184018585.79877907,10736611744.0,10736611744.0,0.0,0.0,2510625421.750269,10736611744.0,10736611744.0,27230.0,3278.04890244
10500.0,0.0,0.0,0.0,160196.1170468251,88644.91017262934,404583.23539269983,223496.170798834,10409.303183312142,69599.99999999453,1181405.7466568989,1286569.7244115316,262173.5375683358,4186686.7906685295,0.0,0.0,5622.599320453527,53869.56779631921,0.0,0.0,0.0,599958.7999999999,64157.03018518463,2867.9848072899763,9665808.116026966,4557.476939164264,16969.010263731485,40982.78987300923,1721278.8020107653,724856.6444656369,2865153.478565274,0.0,0.0,44752.54615892338,14187.431391210232,0.0,0.0,0.0,1727495200000.0,1721266000000.0,1721266000000.0,1721266000000.0,1716562538288.7747,135706896740.87943,1721266000000.0,140697843153.6391,1721266000000.0,1721266000000.0,0.0,0.0,504214035373.8021,1721266000000.0,0.0,0.0,0.0,28386504000.0,28387026751.0,28387026751.0,28387026751.0,28355579206.886528,3327192078.283267,28387026751.0,2214117886.6391745,28387026751.0,28387026751.0,0.0,0.0,6688245354.354303,28387026751.0,28387026751.0,148385.0,1625.0654608500001
