Crosswalk2013_CBSA Code,AVLN_EALPE,CFLD_EALPE,CWAV_EALPE,ERQK_EALPE,HAIL_EALPE,HWAV_EALPE,HRCN_EALPE,ISTM_EALPE,LNDS_EALPE,LTNG_EALPE,RFLD_EALPE,SWND_EALPE,TRND_EALPE,TSUN_EALPE,VLCN_EALPE,WFIR_EALPE,WNTW_EALPE,AVLN_EALB,CFLD_EALB,CWAV_EALB,ERQK_EALB,HAIL_EALB,HWAV_EALB,HRCN_EALB,ISTM_EALB,LNDS_EALB,LTNG_EALB,RFLD_EALB,SWND_EALB,TRND_EALB,TSUN_EALB,VLCN_EALB,WFIR_EALB,WNTW_EALB,AVLN_EXPPE,CFLD_EXPPE,CWAV_EXPPE,ERQK_EXPPE,HAIL_EXPPE,HWAV_EXPPE,HRCN_EXPPE,ISTM_EXPPE,LNDS_EXPPE,LTNG_EXPPE,RFLD_EXPPE,SWND_EXPPE,TRND_EXPPE,TSUN_EXPPE,VLCN_EXPPE,WFIR_EXPPE,WNTW_EXPPE,BUILDVALUE,POPULATION
34140.0,61532.536375386975,0.0,57944.40263908113,46425.370292963366,3902.58684765848,202239.99389286595,0.0,5721.6409458762255,45364.644169368206,11982.56611382055,153461.30773852312,5664.175338716772,41865.75574609346,0.0,0.0,132.208798544731,7206.747530897977,79.13967830167745,0.0,602.7629472014826,278709.7,2432.603794746072,5525.17466612229,0.0,625.4043688941761,294297.55316556856,2421.8586000984424,201994.33173482327,44055.173520983146,20102.24814904816,0.0,0.0,712388.0854090943,13241.211653848204,58000000.0,0.0,458350800000.0,458397200000.0,458350800000.0,458350800000.0,0.0,458350800000.0,295115571123.14923,458350800000.0,22432808054.277622,458350800000.0,458350800000.0,0.0,0.0,55833675685.01064,458350800000.0,10213050527.0,39513.0
34180.0,123065.07278769345,0.0,348365.32091270457,850330.0288791372,12881.07758225064,3975415.4551574937,0.0,256.2551639184006,19542.865102725875,93389.59288429192,81688.49049269772,1247.7098966872707,56419.41784485211,0.0,0.0,2597.0278798874724,5144.497039677963,158.2793566508387,0.0,1090.6101857970375,3227696.6,5024.6296761976855,14887.168708691772,0.0,16.527035321419934,5111.157537484705,14712.879068449636,20159.354920030142,58594.331766107,43265.70890490925,0.0,0.0,2473690.29232576,3401.470144913824,58000000.0,0.0,1148144538614.416,1149826800000.0,1148144800000.0,1148144538614.416,0.0,1148144800000.0,224293589153.94632,1148144800000.0,31843027265.890408,1148144800000.0,1148144800000.0,0.0,0.0,110167190353.33096,1148144538614.416,20093415172.0,98978.0
34220.0,0.0,0.0,0.0,32717.0836299266,26007.04421489369,124972.64339520576,95295.13971729032,839.7214537616638,17399.999999997846,308614.0972980612,64905.81205370675,238663.41947998447,2138742.133520519,0.0,0.0,4299.8609197075275,16639.894333557284,0.0,0.0,0.0,139849.8,58654.52633638122,975.8206833291428,5657957.858092046,1162.5700732872533,4499.999999999987,42474.91985266848,544769.4397991486,84858.67929246457,963839.8504109472,0.0,0.0,40158.309915279504,25696.10968798794,0.0,0.0,0.0,532416800000.0,531686000000.0,531685802051.336,531685802051.336,531686000000.0,23759509037.143055,531686000000.0,14778186572.915958,531686000000.0,531686000000.0,0.0,0.0,115972850660.29144,531685802051.336,9658576854.0,45835.0
34260.0,0.0,0.0,68233.86672793565,354517.4459927166,3665.555924331208,57940.957820752046,302.5681689132291,51191.72493479946,36940.96575497268,101479.63006693698,40978.954000501486,847717.7759693604,2132713.174786,0.0,0.0,2595.585468800341,62080.73943122501,0.0,0.0,1975.158494219768,1063393.9,236267.24316008447,18.31328784148042,37068.271624033136,4164175.715464815,9269.155983320696,6241.564999341839,654940.4888390773,262694.7585291473,1275342.4155423148,0.0,0.0,131821.4350825987,290917.1607024706,0.0,0.0,482594800000.0,482873200000.0,482594800000.0,482594800000.0,480614613484.7317,482591429139.15375,183593655585.59003,482594800000.0,16704902510.286575,482594800000.0,482594800000.0,0.0,0.0,10881533442.246271,482594800000.0,7587686638.0,41603.0
34300.0,597715.114,0.0,63513.66828064351,36584.009933263245,10988.818035649012,237113.93367220915,0.0,31813.616318020628,1059399.0941987787,58835.19821820909,93740.6554585724,55451.20797959028,17261.999332013624,0.0,0.0,93177.9563590703,26231.364735882777,237.419035,0.0,501.80218839959207,218205.1,16186.120686261824,4233.108204096782,0.0,3191.061716291593,330609.72669799044,96.26806110380498,19048.377176724123,4449.239744561502,18996.89545845936,0.0,0.0,11353819.933498008,177.6336997381163,58000000.0,0.0,330774271457.38513,332525600000.0,330948000000.0,330948000000.0,0.0,330948000000.0,22382720367.66204,330948000000.0,18270543559.35607,330948000000.0,330948000000.0,0.0,0.0,44533080520.8376,330948000000.0,4822416482.0,28530.0
34340.0,0.0,0.0,0.141146716319284,28310.885634532,143460.23597435304,0.0,10612.418422081204,51245.903819577856,17400.000000000015,141908.71546584263,84057.99930082017,310186.2127269286,548322.8879208778,0.0,0.0,8336.731205432636,59938.41714681349,0.0,0.0,0.000480910664656,214645.0,144076.08010170722,0.0,794923.4111914561,35029.73389915295,104999.99999999996,62738.576307150186,118159.15528323856,172846.13385568204,695165.8641098407,0.0,0.0,15859.207782502348,13397.46244202449,0.0,0.0,353320171.33033913,827764400000.0,827671600000.0,0.0,827549389274.9495,827671600000.0,379112160688.8231,827671600000.0,3827776765.463383,827671600000.0,827671600000.0,0.0,0.0,50743749819.474144,827671600000.0,13516607988.0,71351.0
34380.0,0.0,0.0,324383.81027467974,9206.863270514872,8425.367745871868,111598.18528037192,225.4007625497504,1257.318429759184,17399.99999999944,99039.63713125097,65622.1949953715,34754.418387491474,1280676.5696847495,0.0,0.0,1077.4243950293499,117689.27603167963,0.0,0.0,1603.8710130776735,34876.7,65842.47156732358,677.7468835897861,52540.33902266807,167608.524139037,4499.999999999996,1121.9399403563755,656212.8011702475,1882897.7140803533,1867352.1913302448,0.0,0.0,12833.83163187976,39146.50052285646,0.0,0.0,746401977540.196,746970400000.0,746402000000.0,746401977540.196,729716418698.879,746363398144.866,23852008856.846024,746402000000.0,12307926075.440275,746402000000.0,746402000000.0,0.0,0.0,53092470038.80744,746401977540.196,16186079284.0,64345.0
34420.0,0.0,0.0,0.0,37996.109385549375,19174.238932894372,214523.43467610297,1590.590524923323,45793.14848719802,17399.999999983855,91062.50031731703,133629.73341749763,143173.9113954054,789496.3717358268,0.0,0.0,5146.732301317198,91866.29594298979,0.0,0.0,0.0,156713.7,1634202.810883253,224.86224986038627,150095.3806440944,1633107.0995243655,4500.000000000017,659.1808953041746,6417.61397682268,754864.1909187501,1089214.9089104703,0.0,0.0,326496.56555002055,69552.72807720974,0.0,0.0,0.0,362465200000.0,362407200000.0,362407200000.0,362407200000.0,362407200000.0,6068855429.978364,362407200000.0,4669371712.966754,362407200000.0,362407200000.0,0.0,0.0,50859807581.72687,362407200000.0,7183173739.0,31242.0
34460.0,0.0,0.0,81600.09719118258,78887.10854457729,59899.78765171676,338538.5033613823,1079.7779371276024,10154.351140363926,133034.89143384094,165400.1936486487,612026.2727602129,670794.6488238104,1112082.0868310942,0.0,0.0,41184.03843642425,149127.7907199504,0.0,0.0,1514.7117242936017,320335.9,336833.70508223365,3490.981259367724,116716.86118988653,8290.465959294253,37073.405014698925,5468.8153743870025,1056383.9495576113,637618.770828662,706149.8540194794,0.0,0.0,211861.79487688703,19959.115039020806,0.0,0.0,543911751344.472,544933200000.0,543912400000.0,543911751344.47205,543891889983.11884,543911751344.472,290519154051.14575,543912400000.0,19142400987.377888,543912400000.0,543912400000.0,0.0,0.0,31171806140.256516,543911751344.472,8729077970.0,46889.0
34500.0,0.0,0.0,172565.1149736838,4846528.240898021,17734.578413136733,560819.5562274185,198.33376498421376,13063.977327365916,17400.000000005457,112259.12959503826,371945.566966096,584721.3693167336,1667655.2375494172,0.0,0.0,286.95525087678504,65870.263618909,0.0,0.0,132.75207208202315,7042928.4,26286.31603853288,4392.359038441417,55737.50562053752,1507.8969037410232,4500.000000000005,4961.266481290392,39667.2447137152,1901172.8686426657,1379154.6437683962,0.0,0.0,4940.606598430212,11085.568737292584,0.0,0.0,430151200000.0,430510800000.0,430151200000.0,430151200000.0,430125355798.5353,430151200000.0,10693295941.72532,430151200000.0,6650394521.906595,430151200000.0,430151200000.0,0.0,0.0,39090516281.40751,430151200000.0,12197575429.0,37082.0
