HousingPI22_GEOID,HousingPI22_Metro Name,HousingPI22_GEOID.1,HousingPI22_1980,HousingPI22_1981,HousingPI22_1982,HousingPI22_1983,HousingPI22_1984,HousingPI22_1985,HousingPI22_1986,HousingPI22_1987,HousingPI22_1988,HousingPI22_1989,HousingPI22_1990,HousingPI22_1991,HousingPI22_1992,HousingPI22_1993,HousingPI22_1994,HousingPI22_1995,HousingPI22_1996,HousingPI22_1997,HousingPI22_1998,HousingPI22_1999,HousingPI22_2000,HousingPI22_2001,HousingPI22_2002,HousingPI22_2003,HousingPI22_2004,HousingPI22_2005,HousingPI22_2006,HousingPI22_2007,HousingPI22_2008,HousingPI22_2009,HousingPI22_2010,HousingPI22_2011,HousingPI22_2012,HousingPI22_2013,HousingPI22_2014,HousingPI22_2015,HousingPI22_2016,HousingPI22_2017,HousingPI22_2018,HousingPI22_2019,HousingPI22_2020,HousingPI22_2021,HousingPI22_2022
11180,"Ames, IA",11180,3.5,3.2,3.1,3.0,2.9,2.8,2.7,2.6,2.5,2.4,2.4,2.5,2.6,2.6,2.7,2.8,2.8,2.8,2.8,2.8,2.9,3.0,3.1,3.1,3.3,3.3,3.2,3.1,3.0,3.0,3.0,3.0,3.0,2.9,3.1,3.1,3.0,3.0,3.0,3.1,3.0,3.3,3.8
11260,"Anchorage, AK",11260,2.8,3.0,3.4,3.3,3.4,3.2,3.3,2.8,2.9,2.4,2.3,2.4,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.7,2.8,3.0,3.2,3.4,3.7,4.1,4.3,4.3,4.0,3.6,3.7,3.8,3.8,3.9,3.7,3.7,4.0,4.0,4.0,4.0,4.1,4.4,4.6
11500,"Anniston-Oxford-Jacksonville, AL",11500,3.0,2.8,2.7,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.7,2.8,2.9,2.9,3.0,3.1,3.1,3.2,3.2,3.1,2.9,3.0,2.9,2.8,2.8,2.8,2.8,2.8,2.9,2.9,3.4,4.2
11460,"Ann Arbor, MI",11460,3.4,3.5,3.1,2.8,2.6,2.5,2.6,2.7,2.9,3.1,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.5,3.5,3.6,3.7,3.9,4.2,4.3,4.4,4.5,4.3,3.9,3.6,3.5,3.4,3.3,3.3,3.4,3.7,3.6,3.7,3.7,3.8,3.9,4.0,4.5,5.0
11540,"Appleton, WI",11540,2.4,2.2,2.0,2.1,2.0,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.0,2.2,2.2,2.3,2.4,2.4,2.4,2.3,2.1,2.1,2.0,2.1,2.4,2.4,2.3,2.4,2.5,2.6,2.7,2.8,3.2,3.5
11700,"Asheville, NC",11700,3.4,3.4,3.3,3.1,3.1,3.1,3.2,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.3,3.4,3.5,3.6,3.8,4.1,4.2,4.4,4.6,4.9,5.1,5.1,5.0,4.8,4.5,4.3,4.2,4.3,4.3,4.5,4.6,4.7,4.6,4.7,5.3,6.5
12100,"Atlantic City-Hammonton, NJ",12100,3.0,2.8,2.5,2.4,2.4,2.6,2.9,3.2,3.3,3.3,3.2,3.0,3.0,2.8,2.8,2.7,2.6,2.6,2.6,2.6,2.6,2.7,3.2,3.6,4.0,4.7,4.7,4.8,4.6,4.1,4.3,4.2,4.2,4.1,3.8,3.7,3.3,3.1,3.1,3.4,3.8,4.4,4.7
12020,"Athens-Clarke County, GA",12020,3.9,4.1,4.1,4.0,3.9,3.8,3.7,3.5,3.5,3.4,3.4,3.5,3.5,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.7,4.0,4.3,4.5,4.8,4.9,4.9,4.8,4.8,4.7,4.4,4.1,4.1,4.1,4.2,4.3,4.3,4.1,4.1,4.1,4.3,4.5,5.4
12060,"Atlanta-Sandy Springs-Roswell, GA",12060,2.6,2.6,2.6,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.4,2.4,2.5,2.6,2.8,2.9,2.9,3.0,3.0,2.9,2.5,2.1,2.1,1.8,1.8,2.5,2.8,2.9,2.9,3.0,3.2,3.3,3.5,4.1,4.7
12220,"Auburn-Opelika, AL",12220,4.4,4.2,4.0,3.9,3.8,3.7,3.8,3.8,3.6,3.5,3.4,3.3,3.3,3.4,3.4,3.5,3.5,3.6,3.6,3.7,3.8,3.9,3.9,3.9,4.0,4.2,4.3,4.2,4.1,4.1,4.0,3.7,3.7,3.7,3.7,3.9,3.6,3.7,3.7,3.7,3.7,4.4,5.3
12260,"Augusta-Richmond County, GA-SC",12260,2.7,2.7,2.7,2.6,2.5,2.5,2.6,2.5,2.4,2.3,2.2,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.6,2.7,2.8,2.8,3.0,3.1,3.3,3.3,3.4,3.3,3.1,3.0,3.0,2.9,2.9,3.0,3.1,3.2,3.2,3.3,3.7,4.6
12420,"Austin-Round Rock, TX",12420,3.4,3.2,3.2,3.2,3.4,3.5,3.5,3.2,2.8,2.5,2.4,2.5,2.7,2.8,2.8,2.8,2.8,2.9,2.8,2.7,2.9,3.0,3.2,3.2,3.1,3.2,3.3,3.3,3.3,3.3,3.4,3.4,3.5,3.6,3.8,3.9,4.0,4.0,4.1,4.1,4.4,5.6,6.1
12540,"Bakersfield, CA",12540,2.4,2.4,2.4,2.3,2.2,2.2,2.3,2.4,2.8,3.1,2.9,3.0,3.1,3.1,3.0,2.9,2.9,2.8,2.7,2.5,2.4,2.7,3.1,3.7,4.6,6.4,6.4,5.8,4.1,2.8,2.9,2.9,3.1,4.0,4.3,4.3,4.4,4.5,4.6,4.7,4.9,5.6,6.2
12580,"Baltimore-Columbia-Towson, MD",12580,2.1,2.2,2.0,2.0,2.0,2.0,2.0,2.1,2.2,2.2,2.4,2.4,2.5,2.5,2.5,2.3,2.2,2.2,2.1,2.1,2.5,2.5,2.9,3.4,3.9,4.5,4.6,4.5,4.2,3.8,3.8,3.5,3.6,3.6,3.4,3.3,3.3,3.3,3.5,3.6,3.9,4.1,4.2
12620,"Bangor, ME",12620,2.3,2.5,2.2,2.1,2.1,2.2,2.3,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.3,2.3,2.4,2.6,2.7,2.8,3.1,3.1,3.1,3.1,3.0,3.1,3.0,3.0,3.0,3.0,3.0,2.8,2.8,2.8,2.9,2.9,3.2,3.7
12700,"Barnstable Town, MA",12700,3.4,3.6,3.4,3.4,3.6,4.0,4.5,4.7,4.6,4.6,4.6,4.5,4.4,4.2,4.0,3.9,3.8,3.8,3.7,3.9,4.3,4.7,5.7,6.6,7.2,7.2,6.7,6.5,5.8,5.5,5.8,5.4,5.3,5.4,5.3,5.5,5.3,5.5,5.5,5.6,6.1,7.3,8.0
12940,"Baton Rouge, LA",12940,3.5,3.3,3.4,3.4,3.4,3.1,3.2,2.9,2.6,2.5,2.4,2.4,2.5,2.5,2.5,2.6,2.6,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.2,3.5,4.0,3.8,3.5,3.4,3.5,3.3,3.3,3.3,3.3,3.4,3.4,3.6,3.6,3.6,3.8,4.3,4.6
12980,"Battle Creek, MI",12980,1.8,1.8,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.8,1.9,2.0,2.0,2.1,2.2,2.3,2.3,2.4,2.4,2.4,2.4,2.3,2.2,2.1,2.0,2.0,2.0,2.1,2.2,2.3,2.3,2.3,2.3,2.3,2.5,2.9
13020,"Bay City, MI",13020,1.9,1.9,1.7,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9,2.0,2.0,2.1,2.1,2.2,2.2,2.4,2.4,2.5,2.5,2.4,2.3,2.1,2.0,1.9,1.8,1.9,1.9,2.0,2.1,2.2,2.2,2.1,2.1,2.1,2.3,2.7
13140,"Beaumont-Port Arthur, TX",13140,2.4,2.3,2.4,2.4,2.4,2.3,2.3,2.2,2.1,2.1,2.0,2.1,2.2,2.2,2.2,2.1,2.2,2.1,2.2,2.2,2.2,2.3,2.3,2.4,2.5,2.6,2.8,2.8,2.9,3.0,2.9,2.9,2.9,3.1,3.0,2.9,2.9,3.0,3.0,3.3,3.4,3.5,3.5
13220,"Beckley, WV",13220,3.4,3.0,2.9,2.7,2.6,2.6,2.7,2.7,2.6,2.5,2.4,2.4,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.5,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.5,2.4,2.4,2.4,2.3,2.2,2.2,2.2,2.1,2.3,2.7,3.0
13380,"Bellingham, WA",13380,3.3,3.3,3.3,3.1,3.0,2.8,2.7,2.5,2.5,2.7,3.0,3.1,3.3,3.5,3.7,3.7,3.7,3.7,3.7,3.7,3.8,4.1,4.3,4.6,5.2,6.2,6.8,6.9,6.7,6.4,5.8,5.3,5.1,5.3,5.5,5.7,5.9,6.2,6.4,6.5,6.6,7.6,8.9
13740,"Billings, MT",13740,2.9,2.7,2.8,2.6,2.8,2.8,2.8,2.6,2.5,2.4,2.3,2.3,2.4,2.5,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.9,3.1,3.3,3.6,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.8,3.8,4.0,4.0,4.1,4.2,4.3,4.4,4.7,5.5
13780,"Binghamton, NY",13780,2.0,1.9,1.9,1.8,1.9,2.1,2.3,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.3,2.1,2.0,1.9,2.0,1.9,1.9,2.0,2.0,2.1,2.2,2.3,2.3,2.5,2.5,2.6,2.5,2.4,2.3,2.3,2.3,2.2,2.2,2.1,2.3,2.2,2.2,2.5,2.6
13820,"Birmingham-Hoover, AL",13820,3.5,3.5,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.0,3.0,3.1,3.2,3.2,3.2,3.2,3.4,3.4,3.3,3.3,3.2,3.3,3.4,3.4,3.5,3.6,3.7,3.4,3.2,3.1,3.2,3.1,3.2,3.5,3.4,3.5,3.6,3.6,3.7,3.7,4.1,4.5,5.1
13980,"Blacksburg-Christiansburg-Radford, VA",13980,3.6,3.4,3.1,3.0,2.8,2.7,2.7,2.9,3.0,3.1,3.0,3.0,3.0,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.2,3.3,3.4,3.5,3.7,3.9,4.1,4.1,4.1,4.1,3.9,3.8,3.7,3.7,3.7,3.7,3.6,3.7,4.0,4.0,4.1,4.4,5.0
14500,"Boulder, CO",14500,4.0,3.9,4.2,3.7,3.7,3.7,3.7,3.6,3.4,3.3,3.4,3.6,3.8,4.2,4.7,4.8,4.8,4.7,4.6,4.6,5.0,5.3,5.6,5.5,5.6,5.9,6.0,5.8,5.5,5.4,5.6,5.5,5.6,5.8,5.9,6.3,6.7,7.1,7.2,7.1,7.2,8.6,9.1
14020,"Bloomington, IN",14020,2.9,3.0,2.8,2.8,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.8,2.9,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.4,3.5,3.6,3.5,3.4,3.5,3.5,3.5,3.4,3.3,3.2,3.2,3.4,3.3,3.3,3.3,3.2,3.2,3.9,4.7
14010,"Bloomington, IL",14010,3.0,2.9,2.6,2.4,2.3,2.3,2.4,2.6,2.6,2.5,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.6,2.6,2.5,2.5,2.6,2.7,2.8,2.9,3.1,2.8,2.7,2.8,2.6,2.7,2.5,2.6,2.5,2.5,2.5,2.4,2.4,2.5,2.4,2.4,2.7,3.1
13460,"Bend-Redmond, OR",13460,3.4,3.4,3.4,3.3,3.0,2.8,2.7,2.6,2.5,2.5,2.6,2.7,2.9,3.0,3.1,3.2,3.2,3.2,3.3,3.3,3.5,3.9,4.4,4.8,5.3,6.3,8.0,8.1,7.1,6.7,6.3,5.7,5.2,5.0,4.9,5.1,5.5,5.9,6.3,6.7,6.7,7.6,8.6
14260,"Boise City, ID",14260,3.2,3.3,3.0,2.9,2.8,2.7,2.7,2.5,2.4,2.3,2.4,2.5,2.6,2.7,2.8,2.7,2.7,2.7,2.7,2.9,2.9,2.9,2.8,2.9,3.0,3.3,4.2,4.1,3.7,3.1,3.0,2.5,2.9,3.3,3.4,3.5,3.7,3.9,4.3,4.5,5.1,6.3,6.6
14100,"Bloomsburg-Berwick, PA",14100,2.1,2.1,2.0,2.0,1.9,1.9,1.9,2.1,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.4,2.3,2.3,2.4,2.5,2.5,2.6,2.6,2.7,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.7,2.8,2.9,2.8,2.9,2.9,2.9,3.0,3.3,3.6
14460,"Boston-Cambridge-Newton, MA-NH",14460,3.0,3.2,3.0,3.0,3.3,3.7,4.2,4.4,4.4,4.2,4.0,3.9,4.0,4.0,4.0,3.9,3.9,3.8,4.1,4.4,4.8,5.0,5.7,6.2,6.5,6.6,6.2,5.9,5.2,4.7,5.1,4.9,4.8,5.0,5.1,5.1,5.1,5.2,5.3,5.2,5.7,6.3,6.5
14540,"Bowling Green, KY",14540,3.7,3.7,3.4,3.4,3.2,3.2,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.0,3.1,3.0,3.1,3.1,3.2,3.3,3.3,3.3,3.4,3.3,3.3,3.3,3.4,3.4,3.4,3.3,3.1,3.0,3.2,3.4,3.5,3.4,3.6,3.7,4.1,4.5
14740,"Bremerton-Silverdale, WA",14740,3.0,3.1,3.0,2.7,2.6,2.6,2.5,2.4,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.0,3.0,3.0,3.1,3.1,3.2,3.3,3.5,3.6,4.0,4.7,5.4,5.5,5.2,4.7,4.5,4.3,4.0,4.0,4.1,4.3,4.5,4.8,5.1,5.4,5.5,6.0,6.8
14860,"Bridgeport-Stamford-Norwalk, CT",14860,4.9,4.9,4.6,4.5,4.8,5.4,6.4,6.9,6.4,6.0,5.9,5.9,6.0,6.0,5.8,5.7,5.5,5.3,5.2,5.3,5.5,5.8,6.5,7.3,7.4,7.4,6.8,6.6,5.9,5.2,5.8,5.8,5.3,5.5,5.3,4.9,4.8,4.9,4.8,4.6,5.3,6.2,6.3
15180,"Brownsville-Harlingen, TX",15180,2.7,2.7,3.0,3.1,3.2,3.2,3.2,2.9,2.7,2.5,2.4,2.3,2.3,2.3,2.3,2.4,2.4,2.3,2.3,2.3,2.2,2.4,2.5,2.6,2.6,2.8,2.8,2.7,2.7,2.7,2.6,2.5,2.5,2.6,2.6,2.7,2.6,2.6,2.6,2.6,2.6,2.7,3.1
13900,"Bismarck, ND",13900,2.6,2.8,2.1,2.4,2.7,2.5,2.5,2.4,2.2,2.1,2.0,2.0,2.0,2.0,2.1,2.1,2.1,2.1,2.1,2.0,2.1,2.2,2.3,2.4,2.5,2.7,2.8,3.1,2.9,2.9,3.0,2.9,3.2,3.5,3.7,3.8,3.8,3.6,3.5,3.5,3.7,3.9,3.8
15260,"Brunswick, GA",15260,2.9,3.0,3.0,3.0,2.9,2.8,2.8,2.8,2.7,2.6,2.6,2.7,2.7,2.7,2.8,2.8,2.8,2.9,2.9,3.0,3.1,3.3,3.4,3.6,3.7,3.9,4.1,4.2,4.2,4.2,3.9,3.5,3.3,3.1,3.2,3.2,3.5,3.5,3.4,3.4,3.6,3.9,4.6
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",15380,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.3,2.5,2.6,2.7,2.7,2.7,2.7,2.6,2.5,2.5,2.3,2.3,2.1,2.1,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.3,2.4,2.6,2.5,2.6,2.6,2.5,2.5,2.5,2.6,2.6,2.7,2.9,3.3,3.5
15500,"Burlington, NC",15500,2.7,2.8,2.7,2.7,2.7,2.8,2.8,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.2,3.4,3.6,3.6,3.6,3.7,3.7,3.7,3.8,3.6,3.4,3.3,3.4,3.4,3.5,3.5,3.4,3.3,3.3,3.3,3.7,4.6
15540,"Burlington-South Burlington, VT",15540,2.4,1.9,2.2,2.1,2.0,2.0,2.1,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.3,2.3,2.2,2.3,2.4,2.6,2.8,3.1,3.5,3.7,3.6,3.6,3.6,4.0,4.1,3.8,4.0,3.9,3.9,4.0,4.1,4.2,4.2,4.4,4.7,5.2
16020,"Cape Girardeau, MO-IL",16020,3.8,3.6,3.4,3.5,3.5,3.5,3.5,3.5,3.4,3.2,3.2,3.1,3.1,3.1,3.3,3.2,3.3,3.2,3.2,3.1,3.1,3.3,3.3,3.4,3.5,3.6,3.6,3.6,3.5,3.5,3.5,3.4,3.5,3.4,3.1,2.9,2.9,3.0,2.8,2.9,3.0,3.1,3.3
15680,"California-Lexington Park, MD",15680,4.2,4.0,3.6,3.4,3.3,3.2,3.2,3.2,3.3,3.3,3.4,3.4,3.5,3.6,3.7,3.6,3.4,3.1,3.0,2.9,3.0,3.2,3.4,3.7,4.4,5.1,5.5,5.3,5.0,4.6,4.1,3.7,3.6,3.7,3.8,3.9,4.0,3.9,3.8,3.6,3.6,3.7,3.8
15940,"Canton-Massillon, OH",15940,2.4,2.3,2.3,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.3,2.4,2.4,2.4,2.5,2.5,2.6,2.5,2.7,2.6,2.6,2.7,2.8,2.8,2.7,2.6,2.5,2.1,2.0,2.1,2.3,2.1,2.4,2.3,2.4,2.4,2.5,2.5,2.5,2.7,2.8,3.0
16180,"Carson City, NV",16180,3.6,3.8,3.9,3.7,3.5,3.3,3.3,3.1,3.0,3.0,3.2,3.4,3.6,3.6,3.7,3.7,3.7,3.6,3.6,3.4,3.5,3.7,4.0,4.4,5.3,6.5,6.7,6.1,5.2,4.5,4.0,3.4,3.3,3.8,4.4,4.8,5.1,5.3,5.5,5.6,5.7,6.2,7.1
16220,"Casper, WY",16220,2.6,2.8,2.8,2.8,2.6,2.5,2.5,2.2,2.0,1.8,1.9,1.9,2.0,2.1,2.3,2.4,2.4,2.4,2.3,2.2,2.2,2.3,2.5,2.7,2.9,3.2,3.6,3.9,3.7,3.6,3.4,3.4,3.4,3.5,3.5,3.6,3.6,3.6,3.7,3.7,4.0,4.4,4.7
16540,"Chambersburg-Waynesboro, PA",16540,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.3,2.4,2.4,2.3,2.4,2.5,2.5,2.5,2.4,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.6,2.9,3.2,3.7,3.6,3.6,3.3,3.3,3.0,2.9,2.9,2.9,2.9,2.7,2.7,2.8,2.9,2.9,3.1,3.5
15980,"Cape Coral-Fort Myers, FL",15980,3.1,3.0,3.1,3.0,2.9,2.7,2.6,2.5,2.4,2.3,2.3,2.3,2.3,2.4,2.3,2.3,2.2,2.3,2.3,2.3,2.4,2.9,3.1,3.4,3.9,5.3,5.0,4.6,3.2,1.8,1.9,2.3,2.8,3.4,3.7,4.1,4.3,4.4,4.4,4.2,4.4,5.4,6.5
16300,"Cedar Rapids, IA",16300,1.9,1.8,1.7,1.8,1.7,1.7,1.7,1.7,1.6,1.7,1.8,1.8,2.1,2.2,2.2,2.2,2.3,2.3,2.3,2.2,2.4,2.4,2.5,2.5,2.6,2.6,2.6,2.6,2.5,2.5,2.6,2.4,2.5,2.5,2.5,2.5,2.5,2.4,2.5,2.5,2.5,2.6,2.8
16580,"Champaign-Urbana, IL",16580,3.0,3.1,2.8,2.7,2.6,2.5,2.5,2.6,2.6,2.5,2.4,2.3,2.3,2.4,2.4,2.5,2.5,2.5,2.6,2.4,2.5,2.6,2.8,3.0,3.1,3.3,3.3,3.2,3.2,3.2,3.3,3.1,3.2,2.9,2.8,2.8,2.8,2.9,2.8,2.7,2.8,3.1,3.3
16940,"Cheyenne, WY",16940,2.8,2.7,2.7,2.7,2.8,2.7,2.8,2.7,2.7,2.5,2.4,2.4,2.4,2.4,2.5,2.7,2.7,2.7,2.7,2.6,2.6,2.8,2.9,3.1,3.4,3.6,3.7,3.6,3.6,3.7,3.5,3.4,3.4,3.5,3.5,3.7,3.6,3.7,3.8,3.9,4.2,5.2,5.8
16980,"Chicago-Naperville-Elgin, IL-IN-WI",16980,2.5,2.6,2.4,2.4,2.4,2.4,2.5,2.6,2.7,2.8,3.0,3.2,3.3,3.4,3.3,3.3,3.3,3.2,3.2,3.1,3.2,3.6,4.0,4.3,4.6,4.8,4.8,4.6,4.1,3.4,3.3,3.0,3.0,3.1,3.3,3.4,3.5,3.6,3.6,3.5,3.7,4.2,4.3
17020,"Chico, CA",17020,3.7,3.8,3.8,3.8,3.6,3.5,3.6,3.6,4.0,4.4,4.7,4.9,4.9,4.7,4.7,4.5,4.3,4.1,3.9,3.9,4.1,4.5,5.3,6.3,7.2,8.3,8.1,7.5,6.6,5.9,5.7,4.9,5.1,5.7,5.3,5.7,5.9,6.2,6.1,6.6,6.6,6.7,6.5
16740,"Charlotte-Concord-Gastonia, NC-SC",16740,2.1,2.1,2.1,2.0,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.4,2.3,2.3,2.2,2.1,2.2,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.7,2.8,2.9,2.9,2.8,2.8,2.8,2.9,3.0,3.2,3.5,3.4,3.5,3.7,3.9,4.0,4.4,5.1,5.7
16700,"Charleston-North Charleston, SC",16700,2.7,2.9,3.3,2.9,2.7,2.6,2.6,2.7,2.7,2.7,2.6,2.7,2.8,3.0,3.0,3.0,2.9,3.0,3.3,3.4,3.4,3.6,3.9,4.0,4.2,4.4,4.5,4.3,4.1,3.9,4.1,4.0,4.1,4.2,4.2,4.3,4.3,4.4,4.3,4.3,4.5,5.2,5.8
16860,"Chattanooga, TN-GA",16860,2.8,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.7,2.6,2.6,2.6,2.6,2.5,2.5,2.6,2.7,2.7,2.7,2.6,2.6,2.8,2.9,3.0,3.2,3.3,3.3,3.0,3.0,2.9,2.9,2.8,2.9,2.9,2.9,3.3,3.4,3.5,3.5,3.4,3.7,4.1,4.7
16820,"Charlottesville, VA",16820,4.1,3.9,3.5,3.5,3.4,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.4,3.3,3.4,3.3,3.2,3.2,3.2,3.3,3.5,3.8,4.0,4.4,5.0,5.4,5.4,5.2,5.1,4.9,4.7,4.6,4.6,4.6,4.7,4.6,4.5,4.3,4.3,4.3,4.7,5.3
16620,"Charleston, WV",16620,4.2,3.7,3.5,3.2,3.1,3.0,3.1,3.1,3.0,2.9,2.6,2.6,2.8,2.9,2.9,2.9,3.1,2.9,2.9,3.3,3.0,3.1,3.2,3.2,3.1,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.2,3.3,3.3,3.3,3.2,3.2,3.2,3.2
17140,"Cincinnati, OH-KY-IN",17140,2.7,2.7,2.6,2.6,2.5,2.4,2.4,2.4,2.4,2.5,2.6,2.6,2.7,2.7,2.8,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.9,2.9,2.9,2.8,2.7,2.4,2.3,2.5,2.3,2.4,2.5,2.5,2.5,2.6,2.6,2.8,2.8,3.1,3.5,3.8
17300,"Clarksville, TN-KY",17300,3.3,3.3,3.0,3.0,2.8,2.9,2.8,2.8,2.7,2.6,2.5,2.4,2.4,2.3,2.3,2.4,2.4,2.5,2.5,2.5,2.5,2.6,2.6,2.7,2.7,2.8,2.8,2.9,3.0,3.1,3.1,3.1,3.1,3.0,3.1,3.2,3.1,3.2,3.5,3.5,3.6,4.0,5.1
17420,"Cleveland, TN",17420,2.9,2.8,2.6,2.6,2.4,2.5,2.5,2.5,2.5,2.4,2.4,2.3,2.4,2.4,2.5,2.5,2.6,2.7,2.8,2.8,2.9,3.1,3.3,3.3,3.4,3.6,3.9,4.0,4.0,4.0,3.8,3.7,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.7,3.8,4.1,5.0
17460,"Cleveland-Elyria, OH",17460,2.6,2.6,2.4,2.4,2.3,2.3,2.3,2.4,2.4,2.4,2.6,2.7,2.8,2.8,2.8,2.9,3.0,3.0,3.0,2.9,2.9,3.1,3.1,3.1,3.1,3.1,2.9,2.7,2.2,2.1,2.5,2.2,2.2,2.4,2.4,2.4,2.5,2.6,2.7,2.8,3.0,3.2,3.4
17660,"Coeur d'Alene, ID",17660,3.3,3.6,3.4,3.3,3.1,3.1,3.0,2.8,2.6,2.5,2.4,2.5,2.7,2.9,3.1,3.2,3.2,3.1,3.2,3.1,3.2,3.3,3.4,3.5,4.0,5.1,5.8,5.5,5.0,4.9,4.7,4.4,4.0,4.0,4.0,4.2,4.4,4.8,5.3,5.5,5.8,7.3,8.7
17980,"Columbus, GA-AL",17980,2.9,3.0,2.9,2.9,2.8,2.8,2.8,2.8,2.7,2.6,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.7,2.6,2.7,2.7,2.9,3.0,3.1,3.3,3.5,3.6,3.6,3.6,3.7,3.4,3.2,3.1,3.1,3.4,3.6,3.8,3.7,3.5,3.6,3.7,3.9,4.7
17860,"Columbia, MO",17860,3.5,3.4,3.2,3.1,3.1,3.1,3.1,3.1,3.0,2.9,2.8,2.8,2.7,2.7,2.9,3.0,3.0,2.9,2.9,2.9,2.9,3.0,3.1,3.1,3.3,3.5,3.5,3.3,3.2,3.3,3.3,3.4,3.3,3.2,3.2,3.3,3.3,3.3,3.4,3.5,3.7,4.1,4.6
18020,"Columbus, IN",18020,2.3,2.4,2.2,2.0,1.9,1.8,1.9,1.9,1.9,1.9,2.0,2.0,2.1,2.1,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.4,2.4,2.4,2.3,2.3,2.3,2.4,2.3,2.3,2.2,2.2,2.3,2.5,2.9
17820,"Colorado Springs, CO",17820,3.4,3.2,3.4,3.2,3.1,3.0,3.1,2.9,2.8,2.7,2.6,2.6,2.6,2.7,2.9,3.0,3.2,3.1,3.1,3.1,3.2,3.4,3.5,3.6,3.7,4.0,4.1,3.9,3.6,3.4,3.6,3.5,3.6,3.8,3.7,3.9,4.0,4.3,4.5,4.5,4.8,5.4,5.6
18580,"Corpus Christi, TX",18580,3.4,3.1,3.4,3.4,3.2,3.2,3.3,3.1,2.8,2.6,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.5,2.6,2.8,3.0,3.3,3.4,3.3,3.2,3.1,3.1,3.0,3.0,3.0,3.4,3.5,3.6,3.5,3.6,3.6,3.9,4.2,4.4
17900,"Columbia, SC",17900,2.9,2.9,2.8,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.6,2.7,2.7,2.6,2.7,2.6,2.6,2.7,2.7,2.7,2.7,2.9,2.9,2.9,3.1,3.1,3.1,3.0,2.9,3.1,3.0,3.0,3.0,3.0,3.0,3.1,3.0,3.1,3.3,3.5,4.0,4.7
