Migration16to20_Metro Code of Geography A,Migration16to20_A_Inflow_Estimate,Migration16to20_A_Outflow_Estimate,Migration16to20_A_NetMigration_Estimate,Migration16to20_A_GrossMigration_Estimate,Migration16to20_A_Inflow_MOE,Migration16to20_A_Outflow_MOE,Migration16to20_A_NetMigration_MOE,Migration16to20_A_GrossMigration_MOE
10180,14074.0,12714.0,1360.0,26788.0,1184.8316336087587,1675.5778107864762,2061.050217728816,2043.9329734607247
10380,3447.0,11070.0,-7623.0,14517.0,639.0492938733287,1348.8502511398365,1486.4602248294436,1498.2746744172111
10420,29065.0,29891.0,-826.0,58956.0,1763.1520070600832,1855.3956451387935,2517.3261608301773,2601.7822737500537
10500,7484.0,8209.0,-725.0,15693.0,921.422812828074,1112.3007686772494,1464.9276432643355,1423.9353917927597
10540,7909.0,8064.0,-155.0,15973.0,982.0651709535371,1050.0371422002177,1462.427092199813,1412.9621367892346
10580,37519.0,35770.0,1749.0,73289.0,2076.4505773073433,2028.3409476712736,2902.1450687379497,2902.1206039722056
10740,32109.0,36067.0,-3958.0,68176.0,2198.8647070704465,2203.052654840551,3126.0190338512016,3099.0701831355805
10780,6706.0,6345.0,361.0,13051.0,1019.0515197967177,969.817508606645,1428.4754110589374,1385.6904416210714
10900,36790.0,32125.0,4665.0,68915.0,2271.492240796785,1931.1871996261782,2915.9794237957167,3046.539019937214
11020,4919.0,4946.0,-27.0,9865.0,688.859927706642,633.0244860982867,923.6476600955583,946.3968512204592
11100,11968.0,15075.0,-3107.0,27043.0,1097.6260747631682,1413.3831752217798,1833.7458929742693,1744.2479754897238
11180,13302.0,11710.0,1592.0,25012.0,985.1847542466337,1071.465818400195,1499.2374728507823,1409.6063280221183
11260,20047.0,27239.0,-7192.0,47286.0,1608.9366053390668,1910.8898450721852,2560.951971435622,2433.2412539655825
11460,34333.0,29052.0,5281.0,63385.0,1726.7724227587144,1688.9037864840022,2460.7551686423417,2369.164620704944
11500,5713.0,5913.0,-200.0,11626.0,811.2817019999897,813.6977325764157,1169.1980157355724,1127.9024780538432
11540,10395.0,14484.0,-4089.0,24879.0,949.5488402394055,1163.4457443301771,1500.0,1503.9404908439694
11640,2466.0,6763.0,-4297.0,9229.0,475.72786338409907,1226.836582434678,1325.3641009171781,1305.4072161590038
11700,22515.0,19866.0,2649.0,42381.0,1751.45568028426,2058.660001068656,2741.8858473685586,2662.661826068042
12020,23508.0,14013.0,9495.0,37521.0,1778.0433065592076,1395.4522564387505,2290.789820127547,2229.512502768262
12060,204029.0,205499.0,-1470.0,409528.0,6832.38567412584,5610.04206757846,8902.19759385288,8778.43402891427
12100,10675.0,12571.0,-1896.0,23246.0,1363.5160431766103,1293.9961360065956,1900.1134176674823,1858.7068085096155
12220,14713.0,11265.0,3448.0,25978.0,1376.9233820369236,1150.8405623716953,1779.620465155422,1808.6525371115372
12260,30544.0,28713.0,1831.0,59257.0,2461.840571604912,2530.4594444487743,3431.535224939415,3627.6644001340587
12420,128968.0,97392.0,31576.0,226360.0,5229.738234366993,3857.7345683704057,6473.421815392537,6523.932019878809
12540,37593.0,35742.0,1851.0,73335.0,2355.541975851842,2047.074009409528,3128.476945735736,3113.9134541602148
12580,95026.0,110038.0,-15012.0,205064.0,3899.545999215806,3982.380067246219,5575.85580875259,5571.9522611020275
