Crosswalk2023_CBSA Code,Labor_Force_2015,Labor_Force_2016,Labor_Force_2017,Labor_Force_2018,Labor_Force_2019,Labor_Force_2020,Labor_Force_2021,Labor_Force_2022,Labor_Force_2023,Labor_Force_2024,Employed_2015,Employed_2016,Employed_2017,Employed_2018,Employed_2019,Employed_2020,Employed_2021,Employed_2022,Employed_2023,Employed_2024,Unemployed_2015,Unemployed_2016,Unemployed_2017,Unemployed_2018,Unemployed_2019,Unemployed_2020,Unemployed_2021,Unemployed_2022,Unemployed_2023,Unemployed_2024
31140.0,652566.0,663733.0,676355.0,683360.0,688415.0,672436,677836.0,686977.0,689593.0,700469.0,622384.0,635209.0,648653.0,657208.0,662702.0,627922,649094.0,661662.0,663221.0,668734.0,30182.0,28524.0,27702.0,26152.0,25713.0,44514,28742.0,25315.0,26372.0,31735.0
31180.0,169426.0,165687.0,168086.0,168884.0,170366.0,169243,174110.0,176585.0,179887.0,184656.0,163462.0,159701.0,162413.0,163469.0,165371.0,158948,165789.0,170404.0,173731.0,178186.0,5964.0,5986.0,5673.0,5415.0,4995.0,10295,8321.0,6181.0,6156.0,6470.0
31220.0,14484.0,13958.0,13730.0,13514.0,13389.0,12792,12491.0,12794.0,12884.0,13026.0,13601.0,13137.0,12938.0,12840.0,12712.0,11508,11682.0,12107.0,12214.0,12269.0,883.0,821.0,792.0,674.0,677.0,1284,809.0,687.0,670.0,757.0
31260.0,37238.0,37590.0,37110.0,36505.0,36220.0,36083,36649.0,36351.0,36288.0,37228.0,35144.0,35405.0,35239.0,34927.0,34792.0,33372,34329.0,34703.0,34738.0,35645.0,2094.0,2185.0,1871.0,1578.0,1428.0,2711,2320.0,1648.0,1550.0,1583.0
31300.0,50388.0,46952.0,46566.0,46038.0,46794.0,45335,44786.0,45164.0,45349.0,45272.0,46162.0,43128.0,43468.0,43252.0,44304.0,41220,41310.0,42667.0,43099.0,43003.0,4226.0,3824.0,3098.0,2786.0,2490.0,4115,3476.0,2497.0,2250.0,2269.0
31340.0,122728.0,126278.0,127611.0,127786.0,128733.0,125546,124515.0,126497.0,128447.0,127423.0,116826.0,120826.0,122479.0,123561.0,124824.0,118068,119786.0,122794.0,124501.0,123295.0,5902.0,5452.0,5132.0,4225.0,3909.0,7478,4729.0,3703.0,3946.0,4128.0
31380.0,14103.0,13841.0,13321.0,13198.0,13260.0,12554,12547.0,12563.0,12652.0,12682.0,13250.0,13018.0,12693.0,12561.0,12687.0,11697,11945.0,12058.0,12110.0,12129.0,853.0,823.0,628.0,637.0,573.0,857,602.0,505.0,542.0,553.0
31420.0,101508.0,100782.0,102958.0,101615.0,100662.0,99440,99279.0,97544.0,97363.0,97160.0,94860.0,94676.0,97443.0,97016.0,96568.0,92614,94693.0,93938.0,93636.0,93071.0,6648.0,6106.0,5515.0,4599.0,4094.0,6826,4586.0,3606.0,3727.0,4089.0
31500.0,15336.0,15272.0,15059.0,15123.0,15128.0,14947,14910.0,14998.0,15050.0,15316.0,14595.0,14560.0,14493.0,14600.0,14608.0,13803,14391.0,14565.0,14563.0,14709.0,741.0,712.0,566.0,523.0,520.0,1144,519.0,433.0,487.0,607.0
31540.0,377422.0,383862.0,387405.0,387084.0,389105.0,386729,392234.0,394913.0,404919.0,411249.0,365059.0,372631.0,377717.0,378097.0,379566.0,367031,380724.0,386241.0,396022.0,401517.0,12363.0,11231.0,9688.0,8987.0,9539.0,19698,11510.0,8672.0,8897.0,9732.0
